country_name,pm10_concentration,pm25_concentration
Afghanistan,,119.774
Cameroon,103.66666666666667,82.66666666666667
Bangladesh,143.88646666666668,77.24756451612903
Mongolia,168.5152,73.55683333333333
Tajikistan,,71.517
Uganda,170.4,69.3015
India,102.59316297468355,68.18738356164384
Pakistan,273.93140000000005,67.83209090909091
Qatar,159.23328571428573,54.07614285714286
Bahrain,182.80364285714288,53.40536363636364
Nigeria,103.0,47.659333333333336
Madagascar,84.0,46.75
Kuwait,131.8444375,45.12021052631579
Iraq,162.200125,44.40075
Dominican Republic,61.550000000000004,43.28666666666666
China,90.51168237704918,43.00201623292966
Uzbekistan,,42.528000000000006
Nepal,52.24644444444445,41.46935714285714
Bosnia and Herzegovina,42.29550847457627,40.1025
Saudi Arabia,159.18142857142857,39.949999999999996
United Arab Emirates,117.89024390243902,38.70736363636364
Viet Nam,26.599999999999998,37.31973333333334
Honduras,43.25,36.0
Venezuela (Bolivarian Republic of),47.0,35.0
Cuba,23.1,34.8
Iran (Islamic Republic of),107.26794736842105,34.580175
El Salvador,,34.152125
Kyrgyzstan,,33.155
North Macedonia,54.42275630252101,31.006304347826084
Senegal,140.67857142857142,30.111166666666666
Peru,69.36265853658537,30.0511
Guatemala,52.28125,30.014333333333337
Belarus,24.285714285714285,30.0
Sri Lanka,64.0,28.879
Kazakhstan,,27.0105
Montenegro,46.21830555555555,26.652749999999997
Ethiopia,,26.6185
Philippines,84.77678571428571,26.595454545454547
Jordan,67.09266666666666,26.48314285714286
Lebanon,43.471428571428575,26.042857142857144
Lao People's Democratic Republic,,25.766
Chile,55.24686413043479,25.446281081081082
Republic of Korea,46.5332538071066,25.329703296703297
South Africa,44.781126865671645,25.0880990990991
Georgia,42.3725,24.5
United Republic of Tanzania,35.1,23.325
Serbia,37.33865454545455,23.275333333333336
Ukraine,34.515,23.09
Türkiye,51.66181845841785,23.04320245398773
Costa Rica,25.547619047619047,22.666666666666668
Mexico,48.48947549019607,22.574544776119403
Poland,31.26928974358974,22.510685410334347
Myanmar,70.30583333333333,22.5
Thailand,41.81257516339869,22.37907594936709
Turkmenistan,,22.078
Algeria,,21.533
Indonesia,22.330125,20.866642857142857
Malaysia,29.702545454545454,20.637
Colombia,42.11719277108433,20.49653703703704
Bulgaria,34.427669871794876,19.906197674418603
Cambodia,,19.49056603773585
Israel,46.57286559139785,18.82988976377953
Paraguay,,18.4
Slovakia,25.67745804195804,17.80543382352941
Czechia,22.500878721058434,17.742545454545454
Romania,23.581160849772385,16.757921465968586
Singapore,29.0,16.543416666666666
Hungary,25.323697297297297,16.395985294117647
Croatia,24.65708536585366,16.112507692307695
Greece,30.398615384615386,16.09878947368421
Albania,28.01142857142857,15.899857142857142
Italy,23.931427676537584,15.895974345818368
Slovenia,23.744162790697672,15.4316875
Brazil,33.306642543859645,15.022777777777778
Cyprus,31.82857575757576,14.8885
"occupied Palestinian territory, including east Jerusalem",46.81363636363637,14.875
Panama,31.1,14.0
Russian Federation,23.863500000000002,14.0
Latvia,20.88867924528302,13.7651
Jamaica,38.5345,13.64575
Argentina,31.533117647058823,13.233625
Austria,18.079787169042767,12.736244648318044
Japan,,12.638012658227849
Belgium,20.982718987341773,12.621848901098902
Puerto Rico,26.869565217391305,12.6
Trinidad and Tobago,26.24375,12.466666666666667
Malta,30.27860606060606,12.226694444444444
Netherlands (Kingdom of the),19.695370666666665,12.214863070539419
Ecuador,36.30136363636364,12.210916666666668
Kenya,22.75,11.96
Germany,17.522544514222385,11.90560685483871
Lithuania,23.111961904761902,11.545683333333333
Luxembourg,18.179179487179486,11.458964285714286
Denmark,19.251545454545454,11.132882352941177
France,18.585567953667955,11.028651452282157
United Kingdom of Great Britain and Northern Ireland,16.280389233954452,10.323557471264367
Switzerland,15.528044324324325,10.116653136531365
Uruguay,22.4165,10.0
Spain,19.06522536725188,9.86894028871391
Ireland,13.779882716049382,8.866419047619049
New Zealand,15.851742647058824,8.4934375
United States of America,19.189865133298483,8.35432747318236
Australia,17.45350243902439,7.762083870967742
Benin,9.1,7.7
Fiji,,7.5665
Portugal,18.453224242424245,7.22395
Norway,14.866660869565218,6.961107692307692
Canada,13.59249358974359,6.526840659340659
Monaco,14.462428571428571,6.5
Finland,11.952896153846154,5.750981481481482
Sweden,15.074768041237114,5.717845714285715
Estonia,12.297436363636365,5.6398860759493665
Iceland,10.185969696969696,4.7243200000000005
Bahamas,4.6499999999999995,4.163333333333333
Andorra,24.96322222222222,
Bhutan,97.37721052631578,
Bolivia (Plurinational State of),70.76,
Egypt,227.0,
Ghana,175.374,
Liechtenstein,17.881,
Maldives,20.0,
Mauritius,30.86109090909091,
Morocco,38.12016666666667,
Tunisia,78.75,
